Player,Team,Pos,Total Points,Round Points,Round Starter,Global Own %,League Own %,League Start %,League Cpt %,League Owners,Event Start Timestamp
Iliman Ndiaye,Senegal,M,,,False,17.0,0.8333333333333334,0.6666666666666666,,"['Allardyced', 'BafanaBhoys', 'Bantah Boyz', 'CôteIvoriehasnoelephants', 'Espresso All Stars', 'EvanRh', 'Kingozil', 'Little Bonne-key', 'Wernham Hogpile', ""Where's Your Wissa Gone""]",2025-12-23T15:00:00Z
Victor Osimhen,Nigeria,F,,,False,42.9,0.75,0.6666666666666666,,"['Allardyced', 'Bantah Boyz', 'CôteIvoriehasnoelephants', 'Draftalchemy', 'EvanRh', 'Kingozil', ""Matt's Afrikaaners"", 'Wernham Hogpile', ""Where's Your Wissa Gone""]",2025-12-23T17:30:00Z
Stanley Nwabali,Nigeria,G,,,False,11.5,0.6666666666666666,,,"['Allardyced', 'Bantah Boyz', 'CôteIvoriehasnoelephants', 'EvanRh', 'Kingozil', ""Matt's Afrikaaners"", 'Wernham Hogpile', ""Where's Your Wissa Gone""]",2025-12-23T17:30:00Z
Bono,Morocco,G,7.0,7.0,False,56.0,0.5833333333333334,0.5833333333333334,,"['Allardyced', 'Bantah Boyz', 'CôteIvoriehasnoelephants', 'Espresso All Stars', 'EvanRh', 'Wernham Hogpile', ""Where's Your Wissa Gone""]",2025-12-21T19:00:00Z
Brahim Díaz,Morocco,M,11.0,11.0,False,20.6,0.5,0.5,0.3333333333333333,"['Allardyced', 'BafanaBhoys', 'Bantah Boyz', 'Kingozil', ""Matt's Afrikaaners"", 'Wernham Hogpile']",2025-12-21T19:00:00Z
Kamory Doumbia,Mali,M,2.0,2.0,False,2.2,0.4166666666666667,0.4166666666666667,0.16666666666666666,"['Allardyced', 'CôteIvoriehasnoelephants', 'Kingozil', 'Wernham Hogpile', ""Where's Your Wissa Gone""]",2025-12-22T14:00:00Z
Kalidou Koulibaly,Senegal,D,,,False,31.1,0.4166666666666667,0.4166666666666667,,"['Bantah Boyz', 'CôteIvoriehasnoelephants', 'EvanRh', 'Wernham Hogpile', ""Where's Your Wissa Gone""]",2025-12-23T15:00:00Z
Sadio Mané,Senegal,M,,,False,29.2,0.4166666666666667,0.4166666666666667,,"['Allardyced', 'CôteIvoriehasnoelephants', 'EvanRh', 'Kingozil', ""Where's Your Wissa Gone""]",2025-12-23T15:00:00Z
Amadou Dante,Mali,D,4.0,4.0,False,7.5,0.4166666666666667,0.3333333333333333,,"['Allardyced', 'CôteIvoriehasnoelephants', 'EvanRh', 'Kingozil', ""Where's Your Wissa Gone""]",2025-12-22T14:00:00Z
Ali Abdi,Tunisia,M,,,False,6.5,0.3333333333333333,0.3333333333333333,,"['Bantah Boyz', 'CôteIvoriehasnoelephants', 'Kingozil', ""Where's Your Wissa Gone""]",2025-12-23T20:00:00Z
Romain Saïss,Morocco,D,1.0,1.0,False,6.0,0.3333333333333333,0.08333333333333333,,"['Allardyced', 'CôteIvoriehasnoelephants', 'EvanRh', ""Where's Your Wissa Gone""]",2025-12-21T19:00:00Z
Azzedine Ounahi,Morocco,M,5.0,5.0,False,11.0,0.25,0.25,0.08333333333333333,"['CôteIvoriehasnoelephants', 'Draftalchemy', ""Where's Your Wissa Gone""]",2025-12-21T19:00:00Z
Achraf Hakimi,Morocco,D,0.0,0.0,False,33.1,0.25,0.25,,"['BafanaBhoys', 'Bantah Boyz', ""Matt's Afrikaaners""]",2025-12-21T19:00:00Z
Riyad Mahrez,Algeria,M,,,False,17.1,0.25,0.25,,"['Allardyced', 'EvanRh', 'Wernham Hogpile']",2025-12-24T15:00:00Z
Ademola Lookman,Nigeria,F,,,False,9.4,0.25,0.25,,"['BafanaBhoys', 'Espresso All Stars', 'Little Bonne-key']",2025-12-23T17:30:00Z
Luca Zidane,Algeria,G,,,False,5.3,0.25,0.25,,"['BafanaBhoys', 'Little Bonne-key', ""Matt's Afrikaaners""]",2025-12-24T15:00:00Z
Bryan Mbeumo,Cameroon,M,,,False,26.1,0.25,0.16666666666666666,0.08333333333333333,"['Draftalchemy', 'Espresso All Stars', 'Little Bonne-key']",2025-12-24T20:00:00Z
Ramy Bensebaini,Algeria,D,,,False,10.5,0.25,0.16666666666666666,0.08333333333333333,"['Bantah Boyz', 'CôteIvoriehasnoelephants', 'Little Bonne-key']",2025-12-24T15:00:00Z
Franck Kessié,Côte d'Ivoire,M,,,False,9.2,0.25,0.16666666666666666,,"['CôteIvoriehasnoelephants', 'Kingozil', ""Where's Your Wissa Gone""]",2025-12-24T17:30:00Z
Mohamed Salah,Egypt,M,,,False,32.2,0.16666666666666666,0.16666666666666666,0.08333333333333333,"['EvanRh', ""Matt's Afrikaaners""]",2025-12-22T20:00:00Z
Amad Diallo,Côte d'Ivoire,F,,,False,23.3,0.16666666666666666,0.16666666666666666,,"['Espresso All Stars', 'Little Bonne-key']",2025-12-24T17:30:00Z
Noussair Mazraoui,Morocco,D,12.0,12.0,False,9.4,0.16666666666666666,0.16666666666666666,,"['Little Bonne-key', ""Matt's Afrikaaners""]",2025-12-21T19:00:00Z
Nayef Aguerd,Morocco,D,8.0,8.0,False,8.5,0.16666666666666666,0.16666666666666666,,"['Espresso All Stars', 'Kingozil']",2025-12-21T19:00:00Z
Pape Matar Sarr,Senegal,M,,,False,8.3,0.16666666666666666,0.16666666666666666,,"['BafanaBhoys', 'Little Bonne-key']",2025-12-23T15:00:00Z
Nicolas Jackson,Senegal,F,,,False,7.4,0.16666666666666666,0.16666666666666666,,"['Bantah Boyz', 'Little Bonne-key']",2025-12-23T15:00:00Z
Mamadou Sarr,Senegal,D,,,False,6.6,0.16666666666666666,0.16666666666666666,,"['BafanaBhoys', 'Kingozil']",2025-12-23T15:00:00Z
Marvelous Nakamba,Zimbabwe,M,,,False,3.2,0.16666666666666666,0.16666666666666666,,"['Bantah Boyz', 'EvanRh']",2025-12-22T20:00:00Z
Baghdad Bounedjah,Algeria,F,,,False,2.1,0.16666666666666666,0.08333333333333333,,"['Allardyced', 'BafanaBhoys']",2025-12-24T15:00:00Z
Hazem Mastouri,Tunisia,F,,,False,1.8,0.16666666666666666,0.08333333333333333,,"['Allardyced', ""Where's Your Wissa Gone""]",2025-12-23T20:00:00Z
Mbekezeli Mbokazi,South Africa,D,0.0,0.0,False,1.8,0.16666666666666666,0.08333333333333333,,"['Allardyced', 'BafanaBhoys']",2025-12-22T17:00:00Z
Samir Sophian Chergui,Algeria,D,,,False,1.1,0.16666666666666666,0.08333333333333333,,"['Allardyced', 'Kingozil']",2025-12-24T15:00:00Z
Soufiane Rahimi,Morocco,F,-3.0,-3.0,False,6.5,0.16666666666666666,,,"['EvanRh', 'Kingozil']",2025-12-21T19:00:00Z
Teboho Mokoena,South Africa,M,0.0,0.0,False,6.9,0.08333333333333333,0.08333333333333333,0.08333333333333333,['EvanRh'],2025-12-22T17:00:00Z
Lassine Sinayoko,Mali,F,10.0,10.0,False,1.4,0.08333333333333333,0.08333333333333333,0.08333333333333333,['Draftalchemy'],2025-12-22T14:00:00Z
Omar Marmoush,Egypt,F,,,False,22.0,0.08333333333333333,0.08333333333333333,,"[""Matt's Afrikaaners""]",2025-12-22T20:00:00Z
Mohamed Amoura,Algeria,F,,,False,9.9,0.08333333333333333,0.08333333333333333,,['Wernham Hogpile'],2025-12-24T15:00:00Z
Calvin Bassey,Nigeria,D,,,False,9.8,0.08333333333333333,0.08333333333333333,,['BafanaBhoys'],2025-12-23T17:30:00Z
Edmond Tapsoba,Burkina Faso,D,,,False,9.4,0.08333333333333333,0.08333333333333333,,['Espresso All Stars'],2025-12-24T12:30:00Z
Shandre Campbell,South Africa,M,0.0,0.0,False,9.2,0.08333333333333333,0.08333333333333333,,['Bantah Boyz'],2025-12-22T17:00:00Z
Mohamed Hany,Egypt,D,,,False,8.8,0.08333333333333333,0.08333333333333333,,['EvanRh'],2025-12-22T20:00:00Z
Anass Salah-Eddine,Morocco,D,15.0,15.0,False,7.1,0.08333333333333333,0.08333333333333333,,['Draftalchemy'],2025-12-21T19:00:00Z
Semi Ajayi,Nigeria,D,,,False,6.4,0.08333333333333333,0.08333333333333333,,['Draftalchemy'],2025-12-23T17:30:00Z
Ousmane Camara,Mali,D,0.0,0.0,False,6.1,0.08333333333333333,0.08333333333333333,,['Espresso All Stars'],2025-12-22T14:00:00Z
Jawad El Yamiq,Morocco,D,8.0,8.0,False,5.6,0.08333333333333333,0.08333333333333333,,['Wernham Hogpile'],2025-12-21T19:00:00Z
Moussa Niakhaté,Senegal,D,,,False,5.4,0.08333333333333333,0.08333333333333333,,['Draftalchemy'],2025-12-23T15:00:00Z
Mohamed Hamdi,Egypt,D,,,False,5.3,0.08333333333333333,0.08333333333333333,,['Bantah Boyz'],2025-12-22T20:00:00Z
Mabululu,Angola,F,0.0,0.0,False,5.1,0.08333333333333333,0.08333333333333333,,['CôteIvoriehasnoelephants'],2025-12-22T17:00:00Z
Ismael Saibari,Morocco,M,4.0,4.0,False,5.0,0.08333333333333333,0.08333333333333333,,['Little Bonne-key'],2025-12-21T19:00:00Z
Oswin Appollis,South Africa,M,0.0,0.0,False,4.6,0.08333333333333333,0.08333333333333333,,['Bantah Boyz'],2025-12-22T17:00:00Z
Noah Sadiki,DR Congo,M,,,False,3.9,0.08333333333333333,0.08333333333333333,,['Espresso All Stars'],2025-12-23T12:30:00Z
Ousmane Diomande,Côte d'Ivoire,D,,,False,3.9,0.08333333333333333,0.08333333333333333,,['Little Bonne-key'],2025-12-24T17:30:00Z
Houssem Aouar,Algeria,M,,,False,3.5,0.08333333333333333,0.08333333333333333,,['BafanaBhoys'],2025-12-24T15:00:00Z
Zaidu Sanusi,Nigeria,D,,,False,3.4,0.08333333333333333,0.08333333333333333,,"[""Where's Your Wissa Gone""]",2025-12-23T17:30:00Z
Elias Achouri,Tunisia,M,,,False,3.2,0.08333333333333333,0.08333333333333333,,"[""Matt's Afrikaaners""]",2025-12-23T20:00:00Z
Lamine Camara,Senegal,M,,,False,2.8,0.08333333333333333,0.08333333333333333,,['Draftalchemy'],2025-12-23T15:00:00Z
Dango Ouattara,Burkina Faso,F,,,False,2.7,0.08333333333333333,0.08333333333333333,,['BafanaBhoys'],2025-12-24T12:30:00Z
Ayoub El Kaabi,Morocco,F,6.0,6.0,False,2.5,0.08333333333333333,0.08333333333333333,,['Draftalchemy'],2025-12-21T19:00:00Z
Nouhou Tolo,Cameroon,D,,,False,2.5,0.08333333333333333,0.08333333333333333,,['BafanaBhoys'],2025-12-24T20:00:00Z
Samuel Essende,DR Congo,F,,,False,2.3,0.08333333333333333,0.08333333333333333,,['Espresso All Stars'],2025-12-23T12:30:00Z
Matthieu Epolo,DR Congo,G,,,False,1.6,0.08333333333333333,0.08333333333333333,,['Draftalchemy'],2025-12-23T12:30:00Z
Adem Arous,Tunisia,D,,,False,1.2,0.08333333333333333,0.08333333333333333,,['Draftalchemy'],2025-12-23T20:00:00Z
Gelson Dala,Angola,F,0.0,0.0,False,0.9,0.08333333333333333,0.08333333333333333,,['Wernham Hogpile'],2025-12-22T17:00:00Z
Javier Mum,Equatorial Guinea,D,,,False,0.7,0.08333333333333333,0.08333333333333333,,"[""Matt's Afrikaaners""]",2025-12-24T12:30:00Z
Kenneth Semakula,Uganda,M,,,False,0.6,0.08333333333333333,0.08333333333333333,,"[""Matt's Afrikaaners""]",2025-12-23T20:00:00Z
Ebenezer Akinsanmiro,Nigeria,M,,,False,0.5,0.08333333333333333,0.08333333333333333,,['Draftalchemy'],2025-12-23T17:30:00Z
Marcel Dandjinou,Benin,G,,,False,0.5,0.08333333333333333,0.08333333333333333,,['Kingozil'],2025-12-23T12:30:00Z
Kennedy Musonda,Zambia,F,1.0,1.0,False,0.3,0.08333333333333333,0.08333333333333333,,['Bantah Boyz'],2025-12-22T14:00:00Z
Jonathan Do Marcolino,Gabon,D,,,False,0.3,0.08333333333333333,0.08333333333333333,,"[""Matt's Afrikaaners""]",2025-12-24T20:00:00Z
Altayeb Abaker,Sudan,D,,,False,0.3,0.08333333333333333,0.08333333333333333,,['Espresso All Stars'],2025-12-24T15:00:00Z
Teenage Hadebe,Zimbabwe,D,,,False,0.2,0.08333333333333333,0.08333333333333333,,['Wernham Hogpile'],2025-12-22T20:00:00Z
Edouard Mendy,Senegal,G,,,False,21.1,0.08333333333333333,,,['Espresso All Stars'],2025-12-23T15:00:00Z
Hervé Koffi,Burkina Faso,G,,,False,13.3,0.08333333333333333,,,['Draftalchemy'],2025-12-24T12:30:00Z
Mohamed Tougai,Algeria,D,,,False,7.9,0.08333333333333333,,,['Wernham Hogpile'],2025-12-24T15:00:00Z
Steven Mukwala,Uganda,F,,,False,2.7,0.08333333333333333,,,['CôteIvoriehasnoelephants'],2025-12-23T20:00:00Z
Dylan Bronn,Tunisia,D,,,False,2.5,0.08333333333333333,,,['Wernham Hogpile'],2025-12-23T20:00:00Z
Nasser Djiga,Burkina Faso,D,,,False,2.2,0.08333333333333333,,,['Draftalchemy'],2025-12-24T12:30:00Z
Emilio Nsue,Equatorial Guinea,F,,,False,2.0,0.08333333333333333,,,"[""Where's Your Wissa Gone""]",2025-12-24T12:30:00Z
Shomari Kapombe,Tanzania,D,,,False,2.0,0.08333333333333333,,,['EvanRh'],2025-12-23T17:30:00Z
Ilan Kebbal,Algeria,M,,,False,1.9,0.08333333333333333,,,['Draftalchemy'],2025-12-24T15:00:00Z
Hamza Igamane,Morocco,F,,,False,1.7,0.08333333333333333,,,['Espresso All Stars'],2025-12-21T19:00:00Z
Georges-Kévin N'Koudou,Cameroon,M,,,False,1.6,0.08333333333333333,,,['Espresso All Stars'],2025-12-24T20:00:00Z
David Owori,Uganda,M,,,False,1.4,0.08333333333333333,,,"[""Matt's Afrikaaners""]",2025-12-23T20:00:00Z
Novatus Miroshi,Tanzania,M,,,False,1.2,0.08333333333333333,,,['Wernham Hogpile'],2025-12-23T17:30:00Z
Shanganani Nganda,Botswana,D,,,False,1.2,0.08333333333333333,,,['Espresso All Stars'],2025-12-23T15:00:00Z
Frankie Musonda,Zambia,D,0.0,0.0,False,1.1,0.08333333333333333,,,['Little Bonne-key'],2025-12-22T14:00:00Z
Dickson Job,Tanzania,D,,,False,0.8,0.08333333333333333,,,"[""Matt's Afrikaaners""]",2025-12-23T17:30:00Z
Manuel Benson,Angola,M,0.0,0.0,False,0.7,0.08333333333333333,,,['BafanaBhoys'],2025-12-22T17:00:00Z
Yakoub Suleiman,Tanzania,G,,,False,0.7,0.08333333333333333,,,['BafanaBhoys'],2025-12-23T17:30:00Z
Iban Salvador,Equatorial Guinea,F,,,False,0.6,0.08333333333333333,,,['Kingozil'],2025-12-24T12:30:00Z
Basilio Ndong,Equatorial Guinea,D,,,False,0.3,0.08333333333333333,,,['Allardyced'],2025-12-24T12:30:00Z
Sessi D'Almeida,Benin,M,,,False,0.3,0.08333333333333333,,,"[""Matt's Afrikaaners""]",2025-12-23T12:30:00Z
Brendan Galloway,Zimbabwe,D,,,False,0.3,0.08333333333333333,,,['Little Bonne-key'],2025-12-22T20:00:00Z
Macauley Bonne,Zimbabwe,F,,,False,0.3,0.08333333333333333,,,['Little Bonne-key'],2025-12-22T20:00:00Z
Adebiyi Marcel Serge Obassa,Benin,G,,,False,0.2,0.08333333333333333,,,['Little Bonne-key'],2025-12-23T12:30:00Z
Ronwen Williams,South Africa,G,0.0,0.0,False,18.2,,,,,2025-12-22T17:00:00Z
Rayan Aït-Nouri,Algeria,M,,,False,17.3,,,,,2025-12-24T15:00:00Z
Mohamed El-Shenawy,Egypt,G,,,False,15.4,,,,,2025-12-22T20:00:00Z
Aaron Wan-Bissaka,DR Congo,D,,,False,15.2,,,,,2025-12-23T12:30:00Z
Chancel Mbemba,DR Congo,D,,,False,12.7,,,,,2025-12-23T12:30:00Z
Yves Bissouma,Mali,M,,,False,10.9,,,,,2025-12-22T14:00:00Z
Guéla Doué,Côte d'Ivoire,D,,,False,10.4,,,,,2025-12-24T17:30:00Z
Yahia Fofana,Côte d'Ivoire,G,,,False,8.7,,,,,2025-12-24T17:30:00Z
Emam Ashour,Egypt,M,,,False,8.5,,,,,2025-12-22T20:00:00Z
Aïssa Mandi,Algeria,D,,,False,8.4,,,,,2025-12-24T15:00:00Z
Pierre-Emerick Aubameyang,Gabon,F,,,False,8.0,,,,,2025-12-24T20:00:00Z
Youssef En-Nesyri,Morocco,F,2.0,2.0,False,7.9,,,,,2025-12-21T19:00:00Z
Arthur Masuaku,DR Congo,D,,,False,7.9,,,,,2025-12-23T12:30:00Z
Axel Tuanzebe,DR Congo,D,,,False,7.7,,,,,2025-12-23T12:30:00Z
Issa Kaboré,Burkina Faso,D,,,False,7.5,,,,,2025-12-24T12:30:00Z
Alex Iwobi,Nigeria,M,,,False,6.7,,,,,2025-12-23T17:30:00Z
Ismaïla Sarr,Senegal,F,,,False,6.6,,,,,2025-12-23T15:00:00Z
Fiston Mayele,DR Congo,F,,,False,6.3,,,,,2025-12-23T12:30:00Z
Evan Ndicka,Côte d'Ivoire,D,,,False,6.2,,,,,2025-12-24T17:30:00Z
Saúl Coco,Equatorial Guinea,D,,,False,6.0,,,,,2025-12-24T12:30:00Z
David Carmo,Angola,D,0.0,0.0,False,5.7,,,,,2025-12-22T17:00:00Z
Ahmed Fatouh,Egypt,D,,,False,5.6,,,,,2025-12-22T20:00:00Z
Khuliso Mudau,South Africa,D,0.0,0.0,False,5.6,,,,,2025-12-22T17:00:00Z
Youcef Atal,Algeria,D,,,False,5.4,,,,,2025-12-24T15:00:00Z
Darlin Yongwa,Cameroon,D,,,False,5.3,,,,,2025-12-24T20:00:00Z
Aaron Appindangoyé,Gabon,D,,,False,5.3,,,,,2025-12-24T20:00:00Z
Sébastien Haller,Côte d'Ivoire,F,,,False,5.2,,,,,2025-12-24T17:30:00Z
Carlos Baleba,Cameroon,M,,,False,5.1,,,,,2025-12-24T20:00:00Z
Reinildo Mandava,Mozambique,D,,,False,5.1,,,,,2025-12-24T17:30:00Z
Abdelhamid Ait Boudlal,Morocco,D,0.0,0.0,False,4.8,,,,,2025-12-21T19:00:00Z
Zizo,Egypt,M,,,False,4.7,,,,,2025-12-22T20:00:00Z
Sofyan Amrabat,Morocco,M,5.0,5.0,False,4.6,,,,,2025-12-21T19:00:00Z
Montassar Talbi,Tunisia,D,,,False,4.6,,,,,2025-12-23T20:00:00Z
Ali Maâloul,Tunisia,D,,,False,4.6,,,,,2025-12-23T20:00:00Z
Cédric Bakambu,DR Congo,F,,,False,4.5,,,,,2025-12-23T12:30:00Z
Abdessamad Ezzalzouli,Morocco,M,2.0,2.0,False,4.4,,,,,2025-12-21T19:00:00Z
Idrissa Gueye,Senegal,M,,,False,4.4,,,,,2025-12-23T15:00:00Z
Kabelo Dambe,Botswana,G,,,False,4.4,,,,,2025-12-23T15:00:00Z
Hannibal Mejbri,Tunisia,M,,,False,4.3,,,,,2025-12-23T20:00:00Z
Samuel Chukwueze,Nigeria,F,,,False,4.2,,,,,2025-12-23T17:30:00Z
Mahmoud Trézéguet,Egypt,M,,,False,4.2,,,,,2025-12-22T20:00:00Z
Ibrahim Maza,Algeria,M,,,False,4.2,,,,,2025-12-24T15:00:00Z
Ellyes Skhiri,Tunisia,M,,,False,4.1,,,,,2025-12-23T20:00:00Z
El Hadji Malick Diouf,Senegal,M,,,False,4.1,,,,,2025-12-23T15:00:00Z
Emmanuel Agbadou,Côte d'Ivoire,D,,,False,4.0,,,,,2025-12-24T17:30:00Z
Yan Diomande,Côte d'Ivoire,F,,,False,3.9,,,,,2025-12-24T17:30:00Z
Amadou Haidara,Mali,M,0.0,0.0,False,3.9,,,,,2025-12-22T14:00:00Z
Seko Fofana,Côte d'Ivoire,M,,,False,3.8,,,,,2025-12-24T17:30:00Z
Gedeon Kalulu,DR Congo,D,,,False,3.8,,,,,2025-12-23T12:30:00Z
Théo Bongonda,DR Congo,M,,,False,3.7,,,,,2025-12-23T12:30:00Z
Elias Saad,Tunisia,F,,,False,3.7,,,,,2025-12-23T20:00:00Z
Ismaël Bennacer,Algeria,M,,,False,3.6,,,,,2025-12-24T15:00:00Z
Wilfred Ndidi,Nigeria,M,,,False,3.6,,,,,2025-12-23T17:30:00Z
Ibrahima Sissoko,Mali,M,0.0,0.0,False,3.5,,,,,2025-12-22T14:00:00Z
Ismail Jakobs,Senegal,D,,,False,3.5,,,,,2025-12-23T15:00:00Z
Wilfried Zaha,Côte d'Ivoire,M,,,False,3.4,,,,,2025-12-24T17:30:00Z
Rami Rabia,Egypt,D,,,False,3.4,,,,,2025-12-22T20:00:00Z
Aliou Dieng,Mali,M,1.0,1.0,False,3.4,,,,,2025-12-22T14:00:00Z
Lassana Coulibaly,Mali,M,0.0,0.0,False,3.4,,,,,2025-12-22T14:00:00Z
Chidera Ejuke,Nigeria,M,,,False,3.4,,,,,2025-12-23T17:30:00Z
Ghislain Konan,Côte d'Ivoire,D,,,False,3.4,,,,,2025-12-24T17:30:00Z
Chicco Molefe,Botswana,D,,,False,3.4,,,,,2025-12-23T15:00:00Z
Raphael Onyedika,Nigeria,M,,,False,3.3,,,,,2025-12-23T17:30:00Z
Fredy,Angola,M,0.0,0.0,False,3.2,,,,,2025-12-22T17:00:00Z
Aymen Dahmen,Tunisia,G,,,False,3.2,,,,,2025-12-23T20:00:00Z
Odilon Kossounou,Côte d'Ivoire,D,,,False,3.1,,,,,2025-12-24T17:30:00Z
Lyle Foster,South Africa,F,0.0,0.0,False,3.1,,,,,2025-12-22T17:00:00Z
Flavien Boyomo,Cameroon,D,,,False,3.1,,,,,2025-12-24T20:00:00Z
Etta Eyong,Cameroon,F,,,False,3.1,,,,,2025-12-24T20:00:00Z
Chemsdine Talbi,Morocco,M,0.0,0.0,False,3.1,,,,,2025-12-21T19:00:00Z
Seifeddine Jaziri,Tunisia,F,,,False,3.0,,,,,2025-12-23T20:00:00Z
Assane Diao,Senegal,F,,,False,3.0,,,,,2025-12-23T15:00:00Z
Yan Valery,Tunisia,D,,,False,3.0,,,,,2025-12-23T20:00:00Z
Mostafa Mohamed,Egypt,F,,,False,2.9,,,,,2025-12-22T20:00:00Z
Ilias Akhomach,Morocco,M,0.0,0.0,False,2.9,,,,,2025-12-21T19:00:00Z
Christ Inao Oulaï,Côte d'Ivoire,M,,,False,2.9,,,,,2025-12-24T17:30:00Z
Boulaye Dia,Senegal,F,,,False,2.9,,,,,2025-12-23T15:00:00Z
Sikou Niakaté,Mali,D,,,False,2.9,,,,,2025-12-22T14:00:00Z
Jaouen Hadjam,Algeria,D,,,False,2.9,,,,,2025-12-24T15:00:00Z
Bright Osayi-Samuel,Nigeria,D,,,False,2.9,,,,,2025-12-23T17:30:00Z
Clinton Mata,Angola,D,0.0,0.0,False,2.8,,,,,2025-12-22T17:00:00Z
Mohamed Ali Ben Romdhane,Tunisia,M,,,False,2.8,,,,,2025-12-23T20:00:00Z
Paul Onuachu,Nigeria,F,,,False,2.8,,,,,2025-12-23T17:30:00Z
Omar Mascarell,Equatorial Guinea,M,,,False,2.8,,,,,2025-12-24T12:30:00Z
Simon Banza,DR Congo,F,,,False,2.8,,,,,2025-12-23T12:30:00Z
Christian Bassogog,Cameroon,M,,,False,2.8,,,,,2025-12-24T20:00:00Z
Fisayo Dele-Bashiru,Nigeria,M,,,False,2.8,,,,,2025-12-23T17:30:00Z
Jim Allevinah,Gabon,M,,,False,2.8,,,,,2025-12-24T20:00:00Z
Losika Ratshukudu,Botswana,M,,,False,2.8,,,,,2025-12-23T15:00:00Z
Habib Diallo,Senegal,F,,,False,2.7,,,,,2025-12-23T15:00:00Z
Cherif Ndiaye,Senegal,F,,,False,2.7,,,,,2025-12-23T15:00:00Z
Jean-Philippe Gbamin,Côte d'Ivoire,M,,,False,2.7,,,,,2025-12-24T17:30:00Z
Junior Dina Ebimbe,Cameroon,M,,,False,2.7,,,,,2025-12-24T20:00:00Z
Michel Ange Balikwisha,DR Congo,M,,,False,2.7,,,,,2025-12-23T12:30:00Z
Christopher Wooh,Cameroon,D,,,False,2.7,,,,,2025-12-24T20:00:00Z
Ibrahim Sangaré,Côte d'Ivoire,M,,,False,2.6,,,,,2025-12-24T17:30:00Z
Rafiki Saïd,Comoros,M,2.0,2.0,False,2.6,,,,,2025-12-21T19:00:00Z
Show,Angola,M,0.0,0.0,False,2.6,,,,,2025-12-22T17:00:00Z
Zito Luvumbo,Angola,F,0.0,0.0,False,2.6,,,,,2025-12-22T17:00:00Z
Monsef Bakrar,Algeria,F,,,False,2.6,,,,,2025-12-24T15:00:00Z
Malick Evouna,Gabon,M,,,False,2.6,,,,,2025-12-24T20:00:00Z
Patson Daka,Zambia,F,8.0,8.0,False,2.6,,,,,2025-12-22T14:00:00Z
Aubrey Modiba,South Africa,D,0.0,0.0,False,2.6,,,,,2025-12-22T17:00:00Z
Joris Kayembe,DR Congo,D,,,False,2.6,,,,,2025-12-23T12:30:00Z
Issoufou Dayo,Burkina Faso,D,,,False,2.6,,,,,2025-12-24T12:30:00Z
Houssem Teka,Tunisia,M,,,False,2.6,,,,,2025-12-23T20:00:00Z
Kialonda Gaspar,Angola,D,0.0,0.0,False,2.5,,,,,2025-12-22T17:00:00Z
Pape Gueye,Senegal,M,,,False,2.4,,,,,2025-12-23T15:00:00Z
Mohanad Lasheen,Egypt,M,,,False,2.4,,,,,2025-12-22T20:00:00Z
Zini,Angola,F,,,False,2.4,,,,,2025-12-22T17:00:00Z
Siyabonga Ngezana,South Africa,D,0.0,0.0,False,2.4,,,,,2025-12-22T17:00:00Z
Adil Boulbina,Algeria,M,,,False,2.3,,,,,2025-12-24T15:00:00Z
Jean-Charles Castelletto,Cameroon,D,,,False,2.3,,,,,2025-12-24T20:00:00Z
Bruno Onyemaechi,Nigeria,D,,,False,2.3,,,,,2025-12-23T17:30:00Z
Alban Lafont,Côte d'Ivoire,G,,,False,2.3,,,,,2025-12-24T17:30:00Z
Hamari Traoré,Mali,D,0.0,0.0,False,2.2,,,,,2025-12-22T14:00:00Z
Lionel M'Pasi,DR Congo,G,,,False,2.2,,,,,2025-12-23T12:30:00Z
Willy Boly,Côte d'Ivoire,D,,,False,2.2,,,,,2025-12-24T17:30:00Z
Mario Lemina,Gabon,M,,,False,2.1,,,,,2025-12-24T20:00:00Z
Steeve Yago,Burkina Faso,D,,,False,2.1,,,,,2025-12-24T12:30:00Z
Evann Guessand,Côte d'Ivoire,F,,,False,2.1,,,,,2025-12-24T17:30:00Z
Redouane Berkane,Algeria,F,,,False,2.1,,,,,2025-12-24T15:00:00Z
Eliesse Ben Seghir,Morocco,M,0.0,0.0,False,2.0,,,,,2025-12-21T19:00:00Z
Farès Chaïbi,Algeria,M,,,False,2.0,,,,,2025-12-24T15:00:00Z
Adam Masina,Morocco,D,0.0,0.0,False,2.0,,,,,2025-12-21T19:00:00Z
Relebohile Mofokeng,South Africa,M,0.0,0.0,False,2.0,,,,,2025-12-22T17:00:00Z
Yasser Ibrahim,Egypt,D,,,False,2.0,,,,,2025-12-22T20:00:00Z
Frank Onyeka,Nigeria,M,,,False,1.9,,,,,2025-12-23T17:30:00Z
Jacques Ekomie,Gabon,D,,,False,1.9,,,,,2025-12-24T20:00:00Z
Rocky Bushiri Kiranga,DR Congo,D,,,False,1.9,,,,,2025-12-23T12:30:00Z
Djigui Diarra,Mali,G,1.0,1.0,False,1.9,,,,,2025-12-22T14:00:00Z
Mohamed Camara,Mali,M,0.0,0.0,False,1.9,,,,,2025-12-22T14:00:00Z
Ismael Gharbi,Tunisia,M,,,False,1.8,,,,,2025-12-23T20:00:00Z
Jonathan Buatu,Angola,D,0.0,0.0,False,1.8,,,,,2025-12-22T17:00:00Z
Junior Tchamadeu,Cameroon,D,,,False,1.8,,,,,2025-12-24T20:00:00Z
