Player,Team,Pos,Price,Total Points,Round Points,Rnd Strt,Global Own %,League Own %,League Start %,League Cpt %,League Owners,Event Start Timestamp
Razack Rachidou,Benin,M,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-23T12:30:00Z
Pascal Msindo,Tanzania,D,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-23T17:30:00Z
Hilary Mukundane,Uganda,D,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-23T20:00:00Z
Junior Zindoga,Zimbabwe,F,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-22T20:00:00Z
Sean Fusire,Zimbabwe,M,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-22T20:00:00Z
Lusajo Mwaikenda,Tanzania,D,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-23T17:30:00Z
Alec Mudimu,Zimbabwe,D,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-22T20:00:00Z
Fernando Chamboco,Mozambique,D,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-24T17:30:00Z
Simon Omossola,Cameroon,G,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-24T20:00:00Z
Rogers Torach,Uganda,D,4.0,0.0,0.0,1.0,0.2,,,,,2025-12-23T20:00:00Z
Gilbert Baruti,Botswana,M,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-23T15:00:00Z
Uche Ikpeazu,Uganda,F,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-23T20:00:00Z
Sheddy Barglan,Sudan,D,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-24T15:00:00Z
Nickson Clement Kibabage,Tanzania,D,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-23T17:30:00Z
Legason Nafiani Alionzi,Uganda,G,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-23T20:00:00Z
Ivane Urrubal,Mozambique,G,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-24T17:30:00Z
Kimiss,Mozambique,G,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-24T17:30:00Z
Ronald Ssekiganda,Uganda,M,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-23T20:00:00Z
Ivan Ahimbisibwe,Uganda,F,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-23T20:00:00Z
Thatayaone Kgamanyane,Botswana,M,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-23T15:00:00Z
David Hamansenya,Zambia,D,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-22T14:00:00Z
Rodrigue Fassinou,Benin,D,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-23T12:30:00Z
Isheanasu Mauchi,Zimbabwe,D,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-22T20:00:00Z
Mazin Mohamedein,Sudan,D,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-24T15:00:00Z
Shafik Nana Kwikiriza,Uganda,F,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-23T20:00:00Z
Reagan Mpande,Uganda,F,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-23T20:00:00Z
Samaké Nze Bagnama,Gabon,M,4.0,0.0,0.0,0.0,0.2,,,,,2025-12-24T20:00:00Z
Washington Navaya,Zimbabwe,F,4.0,-1.0,-1.0,1.0,0.2,,,,,2025-12-22T20:00:00Z
Ambina Fidèle Brice,Cameroon,M,5.0,,,,0.2,,,,,2025-12-24T20:00:00Z
Timothy Awany,Uganda,D,4.0,,,,0.2,,,,,2025-12-23T20:00:00Z
Andy Rinomhota,Zimbabwe,M,4.0,,,,0.2,,,,,2025-12-22T20:00:00Z
Gift Prosper Mphande,Zambia,D,4.0,,,,0.2,,,,,2025-12-22T14:00:00Z
Gape Mohutsiwa,Botswana,M,4.5,3.0,3.0,1.0,0.1,,,,,2025-12-23T15:00:00Z
Thabang Sesinyi,Botswana,F,4.5,3.0,3.0,0.0,0.1,,,,,2025-12-23T15:00:00Z
Shavy Warren Babicka,Gabon,F,5.0,1.0,1.0,0.0,0.1,,,,,2025-12-24T20:00:00Z
Chamito Alfandega,Mozambique,F,5.0,0.0,0.0,0.0,0.1,,,,,2025-12-24T17:30:00Z
João Bonde,Mozambique,M,5.0,0.0,0.0,0.0,0.1,,,,,2025-12-24T17:30:00Z
Jack Lahne,Zambia,F,4.5,0.0,0.0,0.0,0.1,,,,,2025-12-22T14:00:00Z
Olatoundji Tessilimi,Benin,F,4.5,0.0,0.0,0.0,0.1,,,,,2025-12-23T12:30:00Z
Gislain Ahoudo,Benin,M,4.5,0.0,0.0,0.0,0.1,,,,,2025-12-23T12:30:00Z
Melvyn Lorenzen,Uganda,F,4.5,0.0,0.0,1.0,0.1,,,,,2025-12-23T20:00:00Z
Faisal Abdul Bangal,Mozambique,F,4.5,0.0,0.0,0.0,0.1,,,,,2025-12-24T17:30:00Z
Gildo,Mozambique,F,4.5,0.0,0.0,0.0,0.1,,,,,2025-12-24T17:30:00Z
Gael Akogo Esono,Equatorial Guinea,M,4.5,0.0,0.0,0.0,0.1,,,,,2025-12-24T12:30:00Z
Khalid Habibu,Tanzania,M,4.5,0.0,0.0,0.0,0.1,,,,,2025-12-23T17:30:00Z
José Nabil,Equatorial Guinea,F,4.5,0.0,0.0,0.0,0.1,,,,,2025-12-24T12:30:00Z
Matteo Ahlinvi,Benin,F,4.5,0.0,0.0,0.0,0.1,,,,,2025-12-23T12:30:00Z
Edlin Essang-Matouti,Gabon,F,4.5,0.0,0.0,0.0,0.1,,,,,2025-12-24T20:00:00Z
Joseph Liteta,Zambia,M,4.5,0.0,0.0,0.0,0.1,,,,,2025-12-22T14:00:00Z
David Simukonda,Zambia,M,4.5,0.0,0.0,0.0,0.1,,,,,2025-12-22T14:00:00Z
Given Kalusa,Zambia,M,4.5,0.0,0.0,0.0,0.1,,,,,2025-12-22T14:00:00Z
Eliya Mandanji,Zambia,F,4.5,0.0,0.0,0.0,0.1,,,,,2025-12-22T14:00:00Z
Keyns Abdala,Mozambique,M,4.5,0.0,0.0,0.0,0.1,,,,,2025-12-24T17:30:00Z
