Player,Team,Pos,Price,Total Points,Round Points,Rnd Strt,Global Own %,League Own %,League Start %,League Cpt %,League Owners,Event Start Timestamp
Martin Ndzie,Cameroon,M,5.5,0.0,0.0,0.0,1.0,,,,,2025-12-24T20:00:00Z
Yehvann Diouf,Senegal,G,4.5,0.0,0.0,0.0,1.0,,,,,2025-12-23T15:00:00Z
Timothy Fayulu,DR Congo,G,4.5,0.0,0.0,0.0,1.0,,,,,2025-12-23T12:30:00Z
Mohamed Kasri,Sudan,D,4.0,0.0,0.0,0.0,1.0,,,,,2025-12-24T15:00:00Z
Parfait Guiagon,Côte d'Ivoire,M,5.5,,,,1.0,,,,,2025-12-24T17:30:00Z
Rassoul Ndiaye,Senegal,M,4.5,,,,1.0,,,,,2025-12-23T15:00:00Z
Ilay Camara,Senegal,M,4.5,,,,1.0,,,,,2025-12-23T15:00:00Z
Mohamed Tijani,Benin,D,4.0,,,,1.0,,,,,2025-12-23T12:30:00Z
Charles Lukwago,Uganda,G,4.0,,,,1.0,,,,,2025-12-23T20:00:00Z
Willard Mwanza,Zambia,G,4.5,10.0,10.0,1.0,0.9,,,,,2025-12-22T14:00:00Z
Yannick Pandor,Comoros,G,5.0,8.0,8.0,1.0,0.9,,,,,2025-12-21T19:00:00Z
Faïz Selemani,Comoros,F,5.5,7.0,7.0,1.0,0.9,,,,,2025-12-21T19:00:00Z
Charles M'Mombwa,Tanzania,M,4.5,7.0,7.0,1.0,0.9,,,,,2025-12-23T17:30:00Z
Carlos Akapo,Equatorial Guinea,D,4.5,7.0,7.0,1.0,0.9,,,,,2025-12-24T12:30:00Z
Geny Catamo,Mozambique,M,7.0,5.0,5.0,1.0,0.9,,,,,2025-12-24T17:30:00Z
Fashion Sakala,Zambia,F,5.0,4.0,4.0,1.0,0.9,,,,,2025-12-22T14:00:00Z
Saturnin Allagbe,Benin,G,4.0,4.0,4.0,1.0,0.9,,,,,2025-12-23T12:30:00Z
Frank Magri,Cameroon,F,5.5,2.0,2.0,0.0,0.9,,,,,2025-12-24T20:00:00Z
Ramiz Zerrouki,Algeria,M,6.5,1.0,1.0,0.0,0.9,,,,,2025-12-24T15:00:00Z
Aiyegun Tosin,Benin,F,5.5,1.0,1.0,1.0,0.9,,,,,2025-12-23T12:30:00Z
Vakoun Issouf Bayo,Côte d'Ivoire,F,5.5,1.0,1.0,0.0,0.9,,,,,2025-12-24T17:30:00Z
Lameck Banda,Zambia,M,5.0,1.0,1.0,1.0,0.9,,,,,2025-12-22T14:00:00Z
El Bilal Touré,Mali,F,7.0,0.0,0.0,1.0,0.9,,,,,2025-12-22T14:00:00Z
Charles Pickel,DR Congo,M,6.5,0.0,0.0,0.0,0.9,,,,,2025-12-23T12:30:00Z
Ahmed El-Shenawy,Egypt,G,4.5,0.0,0.0,0.0,0.9,,,,,2025-12-22T20:00:00Z
Bechir Ben Said,Tunisia,G,4.0,0.0,0.0,0.0,0.9,,,,,2025-12-23T20:00:00Z
Tadiwa Chakuchichi,Zimbabwe,F,4.0,0.0,0.0,0.0,0.9,,,,,2025-12-22T20:00:00Z
Rogers Mato,Uganda,F,5.5,6.0,6.0,1.0,0.8,,,,,2025-12-23T20:00:00Z
Abdoulaye Diaby,Mali,D,5.0,6.0,6.0,1.0,0.8,,,,,2025-12-22T14:00:00Z
Cheick Tidiane Sabaly,Senegal,F,5.5,5.0,5.0,0.0,0.8,,,,,2025-12-23T15:00:00Z
Loyce  Mbaba,Gabon,G,5.0,4.0,4.0,1.0,0.8,,,,,2025-12-24T20:00:00Z
Jesús Owono,Equatorial Guinea,G,4.5,4.0,4.0,1.0,0.8,,,,,2025-12-24T12:30:00Z
Tamimou Ouorou,Benin,D,4.0,4.0,4.0,1.0,0.8,,,,,2025-12-23T12:30:00Z
Allan Okello,Uganda,M,5.0,2.0,2.0,0.0,0.8,,,,,2025-12-23T20:00:00Z
Pierre Landry Kaboré,Burkina Faso,F,5.5,1.0,1.0,1.0,0.8,,,,,2025-12-24T12:30:00Z
Chico Banza,Angola,F,5.5,1.0,1.0,0.0,0.8,,,,,2025-12-22T17:00:00Z
Mamadou Doumbia,Mali,F,5.5,0.0,0.0,0.0,0.8,,,,,2025-12-22T14:00:00Z
Osama Faisal,Egypt,F,5.5,0.0,0.0,0.0,0.8,,,,,2025-12-22T20:00:00Z
Mohamed Chibi,Morocco,D,5.0,0.0,0.0,0.0,0.8,,,,,2025-12-21T19:00:00Z
Anthony Mandrea,Algeria,G,4.5,0.0,0.0,0.0,0.8,,,,,2025-12-24T15:00:00Z
Denis Onyango,Uganda,G,4.5,0.0,0.0,0.0,0.8,,,,,2025-12-23T20:00:00Z
Godiraone Modingwane,Botswana,M,4.0,0.0,0.0,0.0,0.8,,,,,2025-12-23T15:00:00Z
Danny Namaso,Cameroon,F,5.5,-1.0,-1.0,1.0,0.8,,,,,2025-12-24T20:00:00Z
Marwan Attia,Egypt,M,7.5,4.0,4.0,1.0,0.7,,,,,2025-12-22T20:00:00Z
Mahamadou Doumbia,Mali,M,5.0,1.0,1.0,0.0,0.7,,,,,2025-12-22T14:00:00Z
Mohamed Abdelrahman,Sudan,F,4.5,1.0,1.0,0.0,0.7,,,,,2025-12-24T15:00:00Z
Bazoumana Touré,Côte d'Ivoire,M,7.5,0.0,0.0,0.0,0.7,,,,,2025-12-24T17:30:00Z
